ts_utc,date,total_value,cash,buying_power,positions
2026-09-10T17:54:43+00:00,2026-09-10,1000.00,1000.00,1000.00,{}
2026-09-10T19:22:39+00:00,2026-09-10,1000.00,1000.00,1000.00,{}
2026-09-10T20:35:30+00:00,2026-09-10,1000.00,1000.00,1000.00,{}
2026-09-11T17:05:56+00:00,2026-09-11,1000.00,1000.00,1000.00,{}
2026-09-11T20:21:26+00:00,2026-09-11,1000.00,1000.00,1000.00,{}
2026-09-14T17:03:44+00:00,2026-09-14,1000.00,1000.00,1000.00,{}
2026-09-14T20:27:43+00:00,2026-09-14,1000.00,1000.00,1000.00,{}
2026-09-17T17:04:13+00:00,2026-09-17,1000.00,1000.00,1000.00,{}
2026-09-18T16:07:00+00:00,2026-09-18,999.77,986.20,986.20,"{""PURR"": {""qty"": 1.0, ""avg"": 13.8}}"
2026-09-18T17:09:31+00:00,2026-09-18,999.75,986.20,986.20,"{""PURR"": {""qty"": 1.0, ""avg"": 13.8}}"
2026-09-21T17:03:29+00:00,2026-09-21,999.95,986.20,986.20,"{""PURR"": {""qty"": 1.0, ""avg"": 13.8}}"
